listing_id,neighborhood,property_type,bedrooms,bathrooms,size_sqft,annual_rent,monthly_rent,price_per_sqft,furnished,amenities,has_metro,beach_accessible,floor_number,building_age_years,posted_date,agent_name,agent_company,tier
PF004816,Jumeirah Lake Towers (JLT),1BR,1,1,1123,78100,6500,69.55,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Parking;Security,Yes,No,31,10,2025-09-25,Jason Chase,Property Finder,Mid-Market
PF004817,Downtown Dubai,1BR,1,1,890,101400,8400,113.93,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Security;Shared Spa;Study Room;Swimming Pool,Yes,No,12,2,2025-09-25,Lisa Buchanan,Driven Properties,Luxury
PF004818,Dubai Internet City,Studio,0,1,4950,955000,79600,192.93,Furnished,Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;View (Sea/Marina/Park),Yes,No,39,7,2025-10-06,Marcus Fields,Bayut,Luxury
PF004819,Motor City,3BR,3,2,2189,153600,12800,70.17,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security;Shared Spa,No,No,18,10,2025-11-13,Tammy Lopez,Espace Real Estate,Mid-Market
PF004820,Jumeirah Beach Residence (JBR),1BR,1,1,1086,91200,7600,83.98,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),No,Yes,31,7,2025-11-22,Derek Williams,Espace Real Estate,Luxury
PF004821,Barsha Heights (Tecom),Studio,0,1,423,47900,4000,113.24,Furnished,Balcony;Central AC;Gym;Parking;Security;Swimming Pool,Yes,No,18,8,2025-09-22,James Davenport,Haus & Haus,Mid-Market
PF004822,Dubai Silicon Oasis,Studio,0,1,460,45900,3800,99.78,Semi-Furnished,Central AC;Parking;Security;Study Room,No,No,36,15,2025-11-02,Justin Moreno,Bayut,Budget
PF004823,DIFC,2BR,2,2,1537,144600,12000,94.08,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,No,14,15,2025-10-27,Mario Green,Haus & Haus,Luxury
PF004824,Barsha Heights (Tecom),2BR,2,2,1335,95000,7900,71.16,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Gym;Parking;Pets Allowed;Security,Yes,No,8,17,2025-09-15,Cassandra Fry,Allsopp & Allsopp,Mid-Market
PF004825,Bur Dubai,1BR,1,1,1153,88600,7400,76.84,Semi-Furnished,Built-in Wardrobes;Central AC;Covered Parking;Gym;Parking;Pets Allowed;Security,Yes,No,14,9,2025-10-02,Dr. Jose Gray DDS,Allsopp & Allsopp,Mid-Market
PF004826,Dubai Sports City,1BR,1,1,693,63800,5300,92.06,Furnished,Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Shared Spa;Swimming Pool,No,No,12,12,2025-09-29,Amy Adams,Espace Real Estate,Budget
PF004827,International City,Studio,0,1,435,40700,3400,93.56,Unfurnished,Central AC;Parking;Security;Shared Spa;Study Room,No,No,21,7,2025-10-17,Austin Horton,Espace Real Estate,Budget
PF004828,Motor City,1BR,1,1,950,83900,7000,88.32,Furnished,Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security;Shared Spa;View (Sea/Marina/Park),No,No,10,16,2025-09-28,Elizabeth Jackson,Driven Properties,Mid-Market
PF004829,Bur Dubai,2BR,2,2,1404,85000,7100,60.54,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Parking;Security;Swimming Pool,Yes,No,25,1,2025-09-20,Maureen Cross,Bayut,Mid-Market
PF004830,Jumeirah,3BR,3,2,2485,360400,30000,145.03,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Study Room;Swimming Pool,No,Yes,30,19,2025-10-29,Christopher Sanchez,Property Finder,Luxury
PF004831,Jumeirah Lake Towers (JLT),1BR,1,1,1226,81600,6800,66.56,Unfurnished,Built-in Wardrobes;Central AC;Gym;Parking;Security;Study Room,Yes,No,39,17,2025-09-30,Mitchell Richardson,Allsopp & Allsopp,Mid-Market
PF004832,Al Barsha,Studio,0,1,411,54000,4500,131.39,Unfurnished,Balcony;Central AC;Parking;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,42,12,2025-11-13,Kelsey Lewis,Driven Properties,Mid-Market
PF004833,Bur Dubai,3BR,3,2,1733,111700,9300,64.45,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,No,39,16,2025-09-13,Richard Miller,Bayut,Mid-Market
PF004834,Business Bay,1BR,1,1,655,97500,8100,148.85,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Parking;Pets Allowed;Security;Study Room;Swimming Pool,Yes,No,2,13,2025-11-15,Samantha Carter,Property Finder,Premium
PF004835,Barsha Heights (Tecom),Studio,0,1,455,51600,4300,113.41,Furnished,Central AC;Gym;Maid's Room;Parking;Security;Study Room;View (Sea/Marina/Park),Yes,No,23,8,2025-09-24,Mrs. Heather Christensen,Allsopp & Allsopp,Mid-Market
PF004836,Al Nahda,Studio,0,1,434,36700,3100,84.56,Furnished,Central AC;Covered Parking;Parking;Security;Swimming Pool,Yes,No,7,13,2025-10-27,Sharon Williams,Property Finder,Budget
PF004837,Dubai Marina,1BR,1,1,1388,91400,7600,65.85,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Maid's Room;Parking;Security;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,Yes,13,5,2025-10-14,Daryl Lowe,Espace Real Estate,Luxury
PF004838,Jumeirah Lake Towers (JLT),3BR,3,2,2131,189300,15800,88.83,Furnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Study Room;View (Sea/Marina/Park),Yes,No,22,14,2025-09-08,Michael Carter,Allsopp & Allsopp,Mid-Market
PF004839,Jumeirah,Studio,0,1,1190,112900,9400,94.87,Unfurnished,Balcony;Central AC;Children's Play Area;Gym;Maid's Room;Parking;Pets Allowed;Security;Study Room,No,Yes,8,18,2025-10-22,Susan Johnson,Haus & Haus,Luxury
PF004840,Arabian Ranches,2BR,2,2,1952,162100,13500,83.04,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Swimming Pool;View (Sea/Marina/Park),No,No,35,13,2025-09-12,James Jenkins,Espace Real Estate,Luxury
PF004841,Jumeirah Lake Towers (JLT),1BR,1,1,1126,77500,6500,68.83,Furnished,Balcony;Built-in Wardrobes;Central AC;Parking;Pets Allowed;Security,Yes,No,2,19,2025-09-13,Dylan Johnston,Haus & Haus,Mid-Market
PF004842,Downtown Dubai,3BR,3,2,2963,399300,33300,134.76,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Pets Allowed;Security;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,No,24,4,2025-09-28,Kathy Hull,Dubizzle,Luxury
PF004843,Discovery Gardens,2BR,2,2,1429,110000,9200,76.98,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security;View (Sea/Marina/Park),Yes,No,36,14,2025-09-07,Monica Richardson,Dubizzle,Budget
PF004844,Al Barsha,2BR,2,2,1411,121200,10100,85.9,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Parking;Security,Yes,No,14,19,2025-09-08,Kathryn White,Property Finder,Mid-Market
PF004845,Arabian Ranches,Studio,0,1,1940,160800,13400,82.89,Unfurnished,Central AC;Children's Play Area;Gym;Maid's Room;Parking;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),No,No,27,3,2025-11-02,Mrs. Valerie Owens,Haus & Haus,Luxury
PF004846,Motor City,Studio,0,1,701,72200,6000,103.0,Furnished,Central AC;Maid's Room;Parking;Security;Shared Spa;View (Sea/Marina/Park),No,No,31,15,2025-10-06,Amy Watts,Bayut,Mid-Market
PF004847,International City,1BR,1,1,732,50900,4200,69.54,Unfurnished,Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Shared Spa,No,No,36,1,2025-09-29,Michael Brown,Dubizzle,Budget
PF004848,Business Bay,3BR,3,2,1816,175100,14600,96.42,Furnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,10,11,2025-10-22,Cynthia Hendricks,Property Finder,Premium
PF004849,Motor City,2BR,2,2,1724,111000,9200,64.39,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Parking;Security,No,No,32,1,2025-11-12,Phillip Kelly,Driven Properties,Mid-Market
PF004850,Motor City,2BR,2,2,1684,117000,9800,69.48,Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Parking;Security;Shared Spa;Study Room,No,No,43,1,2025-11-20,Deanna Edwards,Dubizzle,Mid-Market
PF004851,Al Nahda,2BR,2,2,1063,61000,5100,57.38,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security,Yes,No,34,17,2025-09-16,Jennifer Walker,Allsopp & Allsopp,Budget
PF004852,International City,3BR,3,2,2379,115700,9600,48.63,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Security,No,No,13,18,2025-11-10,Brian Davis,Espace Real Estate,Budget
PF004853,Dubai Silicon Oasis,1BR,1,1,771,58700,4900,76.13,Furnished,Built-in Wardrobes;Central AC;Gym;Parking;Security,No,No,8,10,2025-11-25,Kelsey Griffith,Haus & Haus,Budget
PF004854,Business Bay,Studio,0,1,407,53900,4500,132.43,Unfurnished,Balcony;Central AC;Maid's Room;Parking;Pets Allowed;Security;Study Room;Swimming Pool,Yes,No,6,13,2025-11-12,Kimberly Obrien,Haus & Haus,Premium
PF004855,Motor City,2BR,2,2,1615,109900,9200,68.05,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Pets Allowed;Security;Study Room,No,No,29,4,2025-09-12,Kevin Mccoy,Allsopp & Allsopp,Mid-Market
PF004856,Motor City,1BR,1,1,915,84300,7000,92.13,Semi-Furnished,Built-in Wardrobes;Central AC;Children's Play Area;Gym;Parking;Security,No,No,30,10,2025-10-14,Daniel Sullivan,Property Finder,Mid-Market
PF004857,Arabian Ranches,Studio,0,1,2088,182100,15200,87.21,Furnished,Balcony;Central AC;Gym;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool,No,No,39,19,2025-10-17,Darius Khan,Espace Real Estate,Luxury
PF004858,Deira,Studio,0,1,454,47600,4000,104.85,Unfurnished,Central AC;Parking;Security;View (Sea/Marina/Park),Yes,No,7,19,2025-10-20,Miranda Huber,Haus & Haus,Budget
PF004859,Arabian Ranches,2BR,2,2,1978,173000,14400,87.46,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Pets Allowed;Security;Shared Spa;Study Room;View (Sea/Marina/Park),No,No,12,10,2025-11-09,Lisa Wagner,Driven Properties,Luxury
PF004860,Discovery Gardens,2BR,2,2,1429,110000,9200,76.98,Furnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Swimming Pool,Yes,No,8,10,2025-09-29,Erin Price,Driven Properties,Budget
PF004861,Discovery Gardens,2BR,2,2,1429,110000,9200,76.98,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Security,Yes,No,11,16,2025-10-07,Jonathan Russell,Dubizzle,Budget
PF004862,Motor City,2BR,2,2,1671,112600,9400,67.38,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Parking;Security,No,No,8,5,2025-10-01,Sharon Snow,Allsopp & Allsopp,Mid-Market
PF004863,Dubai Silicon Oasis,1BR,1,1,861,58700,4900,68.18,Unfurnished,Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security;Shared Spa,No,No,39,10,2025-09-06,Cody Hoover,Property Finder,Budget
PF004864,Motor City,Studio,0,1,650,59500,5000,91.54,Unfurnished,Central AC;Maid's Room;Parking;Security;View (Sea/Marina/Park),No,No,39,13,2025-09-27,Alyssa Rodriguez PhD,Haus & Haus,Mid-Market
PF004865,Al Barsha,Studio,0,1,406,49400,4100,121.67,Furnished,Central AC;Covered Parking;Gym;Parking;Security,Yes,No,31,15,2025-09-25,Carl Harper,Driven Properties,Mid-Market
PF004866,DIFC,2BR,2,2,1651,150200,12500,90.98,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security;Shared Spa;Study Room;Swimming Pool,Yes,No,34,14,2025-09-24,Dana Bennett,Dubizzle,Luxury
PF004867,Downtown Dubai,3BR,3,2,2408,290100,24200,120.47,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Maid's Room;Parking;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,No,17,7,2025-10-25,Michael Baker,Property Finder,Luxury
PF004868,International City,2BR,2,2,980,60900,5100,62.14,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Shared Spa;Study Room,No,No,43,8,2025-09-10,William Wilson,Dubizzle,Budget
PF004869,Deira,Studio,0,1,381,44200,3700,116.01,Unfurnished,Central AC;Gym;Parking;Pets Allowed;Security;View (Sea/Marina/Park),Yes,No,15,9,2025-10-22,Jennifer Smith,Driven Properties,Budget
PF004870,Motor City,1BR,1,1,828,84100,7000,101.57,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Security,No,No,30,13,2025-10-19,Cindy Richardson,Espace Real Estate,Mid-Market
PF004871,Jumeirah,1BR,1,1,1054,141500,11800,134.25,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Pets Allowed;Security;Study Room;View (Sea/Marina/Park),No,Yes,4,0,2025-10-15,Brandi Brown,Allsopp & Allsopp,Luxury
PF004872,Al Nahda,3BR,3,2,1681,87300,7300,51.93,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,20,11,2025-09-19,Benjamin Martinez,Bayut,Budget
PF004873,Jumeirah Lake Towers (JLT),1BR,1,1,992,81400,6800,82.06,Unfurnished,Built-in Wardrobes;Central AC;Gym;Parking;Pets Allowed;Security;Shared Spa,Yes,No,42,9,2025-09-02,Patricia Mitchell,Haus & Haus,Mid-Market
PF004874,International City,1BR,1,1,818,51200,4300,62.59,Semi-Furnished,Built-in Wardrobes;Central AC;Gym;Parking;Pets Allowed;Security;Swimming Pool,No,No,4,3,2025-11-16,Courtney Sanders,Espace Real Estate,Budget
PF004875,Business Bay,Studio,0,1,444,55400,4600,124.77,Unfurnished,Balcony;Central AC;Children's Play Area;Gym;Parking;Security;Shared Spa,Yes,No,40,4,2025-10-09,Ryan Willis,Espace Real Estate,Premium
PF004876,Dubai Sports City,1BR,1,1,754,63900,5300,84.75,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security;Study Room,No,No,33,18,2025-11-24,Jennifer Jackson,Driven Properties,Budget
PF004877,Dubai Media City,Studio,0,1,1112,150100,12500,134.98,Furnished,Balcony;Central AC;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;View (Sea/Marina/Park),Yes,No,11,0,2025-11-12,Teresa Obrien,Haus & Haus,Premium
PF004878,Al Barsha,2BR,2,2,1376,94600,7900,68.75,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Pets Allowed;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,44,3,2025-11-28,Angel Hayes,Bayut,Mid-Market
PF004879,Dubai Marina,2BR,2,2,1387,103000,8600,74.26,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Swimming Pool,Yes,Yes,39,19,2025-10-28,Jason Davis,Bayut,Luxury
PF004880,Jumeirah Lake Towers (JLT),1BR,1,1,1063,77600,6500,73.0,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Security;Study Room,Yes,No,19,9,2025-10-12,Melissa Mathews,Dubizzle,Mid-Market
PF004881,International City,2BR,2,2,951,61300,5100,64.46,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security;Shared Spa,No,No,11,17,2025-09-05,Joseph Russell,Dubizzle,Budget
PF004882,Dubai Internet City,1BR,1,1,5071,1277000,106400,251.82,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Security;Shared Spa;Swimming Pool;View (Sea/Marina/Park),Yes,No,39,11,2025-11-09,Sandra Mccoy,Allsopp & Allsopp,Luxury
PF004883,Deira,1BR,1,1,811,48200,4000,59.43,Unfurnished,Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Study Room,Yes,No,25,17,2025-11-06,Gail Vasquez,Driven Properties,Budget
PF004884,Dubai Marina,3BR,3,2,2128,180500,15000,84.82,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Security;Shared Spa;Study Room;Swimming Pool,Yes,Yes,23,2,2025-10-10,Jeffrey Gibbs,Allsopp & Allsopp,Luxury
PF004885,Jumeirah Beach Residence (JBR),2BR,2,2,1630,194600,16200,119.39,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Security;Shared Spa;Study Room;View (Sea/Marina/Park),No,Yes,7,16,2025-11-22,Michael Wilson,Haus & Haus,Luxury
PF004886,Jumeirah Beach Residence (JBR),2BR,2,2,2122,247700,20600,116.73,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),No,Yes,16,17,2025-09-16,Richard Smith,Driven Properties,Luxury
PF004887,Dubai Media City,Studio,0,1,1117,151700,12600,135.81,Unfurnished,Central AC;Parking;Security;Shared Spa;Study Room;View (Sea/Marina/Park),Yes,No,25,9,2025-10-04,Corey Mooney,Espace Real Estate,Premium
PF004888,Dubai Silicon Oasis,Studio,0,1,467,47500,4000,101.71,Furnished,Central AC;Parking;Pets Allowed;Security;View (Sea/Marina/Park),No,No,11,6,2025-09-02,Christina Myers,Allsopp & Allsopp,Budget
PF004889,Dubai Silicon Oasis,2BR,2,2,1085,89100,7400,82.12,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security,No,No,19,7,2025-09-15,Anita Pitts,Bayut,Budget
PF004890,Motor City,1BR,1,1,894,80800,6700,90.38,Unfurnished,Built-in Wardrobes;Central AC;Parking;Security;Shared Spa;View (Sea/Marina/Park),No,No,39,15,2025-11-22,Christian Bryant,Property Finder,Mid-Market
PF004891,Discovery Gardens,Studio,0,1,473,38300,3200,80.97,Unfurnished,Central AC;Parking;Security;Study Room,Yes,No,28,8,2025-09-16,Patrick Garcia,Espace Real Estate,Budget
PF004892,Barsha Heights (Tecom),2BR,2,2,1284,98900,8200,77.02,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Gym;Parking;Security;Shared Spa,Yes,No,25,4,2025-09-19,Daniel Merritt,Dubizzle,Mid-Market
PF004893,Al Barsha,1BR,1,1,926,81900,6800,88.44,Unfurnished,Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Shared Spa;Study Room,Yes,No,20,15,2025-10-05,Robert Hicks,Haus & Haus,Mid-Market
PF004894,Dubai Internet City,2BR,2,2,4940,1023800,85300,207.25,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Security;Shared Spa;Study Room;View (Sea/Marina/Park),Yes,No,23,6,2025-09-16,Kenneth Washington,Bayut,Luxury
PF004895,Deira,3BR,3,2,1288,93800,7800,72.83,Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security,Yes,No,37,16,2025-09-16,Jessica Hoffman,Bayut,Budget
PF004896,Dubai Sports City,2BR,2,2,1181,81000,6800,68.59,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security;Swimming Pool,No,No,4,10,2025-10-12,Lisa Riggs,Driven Properties,Budget
PF004897,Dubai Media City,Studio,0,1,1109,145400,12100,131.11,Unfurnished,Balcony;Central AC;Children's Play Area;Parking;Pets Allowed;Security;View (Sea/Marina/Park),Yes,No,21,11,2025-11-18,Donna Mccarty,Property Finder,Premium
PF004898,Downtown Dubai,1BR,1,1,855,98700,8200,115.44,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Parking;Security;Shared Spa;Swimming Pool,Yes,No,6,6,2025-10-27,Eric Spencer,Espace Real Estate,Luxury
PF004899,Dubai Sports City,1BR,1,1,819,71300,5900,87.06,Unfurnished,Built-in Wardrobes;Central AC;Covered Parking;Parking;Security;Swimming Pool,No,No,44,5,2025-11-18,Victoria Deleon,Espace Real Estate,Budget
PF004900,Dubai Silicon Oasis,2BR,2,2,1145,92100,7700,80.44,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Gym;Parking;Pets Allowed;Security;View (Sea/Marina/Park),No,No,2,17,2025-10-13,David Roy,Dubizzle,Budget
PF004901,Bur Dubai,2BR,2,2,1303,84000,7000,64.47,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security;Study Room,Yes,No,26,15,2025-09-19,Nancy Rice,Driven Properties,Mid-Market
PF004902,Jumeirah Lake Towers (JLT),2BR,2,2,1568,124700,10400,79.53,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Security,Yes,No,10,3,2025-11-06,Daniel Brewer,Driven Properties,Mid-Market
PF004903,Discovery Gardens,1BR,1,1,929,71200,5900,76.64,Semi-Furnished,Built-in Wardrobes;Central AC;Parking;Pets Allowed;Security,Yes,No,7,9,2025-11-23,Becky Garcia,Bayut,Budget
PF004904,Dubai Internet City,2BR,2,2,5013,1054300,87900,210.31,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Gym;Parking;Pets Allowed;Security;Study Room;View (Sea/Marina/Park),Yes,No,43,18,2025-11-22,Michael Smith,Haus & Haus,Luxury
PF004905,Jumeirah,Studio,0,1,1356,120600,10000,88.94,Unfurnished,Balcony;Central AC;Children's Play Area;Parking;Pets Allowed;Security;Shared Spa;Study Room;View (Sea/Marina/Park),No,Yes,28,1,2025-09-05,Katie Kaiser,Espace Real Estate,Luxury
PF004906,Arabian Ranches,2BR,2,2,2132,186000,15500,87.24,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Swimming Pool;View (Sea/Marina/Park),No,No,8,11,2025-11-10,Amy Roberts,Haus & Haus,Luxury
PF004907,Dubai Media City,2BR,2,2,1537,211400,17600,137.54,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Security,Yes,No,16,8,2025-10-09,Taylor Espinoza,Driven Properties,Premium
PF004908,Al Nahda,2BR,2,2,1079,64400,5400,59.68,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Swimming Pool,Yes,No,22,11,2025-11-25,David Aguirre,Property Finder,Budget
PF004909,Al Barsha,1BR,1,1,841,78700,6600,93.58,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Pets Allowed;Security;Shared Spa,Yes,No,26,12,2025-11-04,Kyle Armstrong,Dubizzle,Mid-Market
PF004910,Barsha Heights (Tecom),2BR,2,2,1336,137100,11400,102.62,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Security,Yes,No,41,6,2025-10-05,Jennifer Weber,Haus & Haus,Mid-Market
PF004911,Business Bay,1BR,1,1,917,91100,7600,99.35,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Parking;Security;Shared Spa,Yes,No,11,8,2025-11-11,Sheila Douglas,Espace Real Estate,Premium
PF004912,Dubai Silicon Oasis,3BR,3,2,2147,164000,13700,76.39,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security;Swimming Pool,No,No,34,16,2025-10-17,Maria Malone,Allsopp & Allsopp,Budget
PF004913,DIFC,Studio,0,1,604,79500,6600,131.62,Semi-Furnished,Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;View (Sea/Marina/Park),Yes,No,12,7,2025-10-19,Megan Juarez,Bayut,Luxury
PF004914,Motor City,3BR,3,2,2187,153100,12800,70.0,Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security;Shared Spa;Study Room;View (Sea/Marina/Park),No,No,30,9,2025-10-18,Ann Boyd,Allsopp & Allsopp,Mid-Market
PF004915,Al Barsha,3BR,3,2,1369,122900,10200,89.77,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Shared Spa;Study Room,Yes,No,17,4,2025-10-05,Richard Riley,Espace Real Estate,Mid-Market
PF004916,Dubai Media City,3BR,3,2,2273,383500,32000,168.72,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security,Yes,No,21,5,2025-10-22,Laura Thomas,Bayut,Premium
PF004917,Al Nahda,1BR,1,1,590,47300,3900,80.17,Unfurnished,Built-in Wardrobes;Central AC;Covered Parking;Parking;Security,Yes,No,17,15,2025-09-10,Elizabeth Barton,Espace Real Estate,Budget
PF004918,Business Bay,2BR,2,2,1434,173600,14500,121.06,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Maid's Room;Parking;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,21,17,2025-10-27,Laura Sparks,Driven Properties,Premium
PF004919,Dubai Media City,1BR,1,1,1117,160500,13400,143.69,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Gym;Parking;Security;Shared Spa,Yes,No,15,18,2025-10-24,Tiffany Zamora,Driven Properties,Premium
PF004920,Discovery Gardens,Studio,0,1,478,45500,3800,95.19,Furnished,Balcony;Central AC;Maid's Room;Parking;Security;Swimming Pool,Yes,No,19,19,2025-11-24,Ryan Roman,Property Finder,Budget
PF004921,Dubai Media City,Studio,0,1,1096,132000,11000,120.44,Semi-Furnished,Central AC;Maid's Room;Parking;Pets Allowed;Security;Study Room;View (Sea/Marina/Park),Yes,No,10,6,2025-09-10,Richard Parsons,Haus & Haus,Premium
PF004922,Al Barsha,2BR,2,2,1380,124500,10400,90.22,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Shared Spa;Study Room;View (Sea/Marina/Park),Yes,No,38,7,2025-09-01,Justin Yu,Property Finder,Mid-Market
PF004923,Barsha Heights (Tecom),2BR,2,2,1283,97500,8100,75.99,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Study Room;Swimming Pool,Yes,No,4,0,2025-11-20,Marcus Johnson,Espace Real Estate,Mid-Market
