tenant_id,age,profession,monthly_income,family_size,preferred_property_type,max_monthly_rent,max_annual_rent,nationality,move_in_timeline,pets
T00808,41,Entrepreneur,39423,3,2BR,12710,152520,Lao People's Democratic Republic,Flexible,No
T00809,46,Sales & Marketing,16741,3,2BR,6111,73332,Serbia,Within 1 month,No
T00810,42,Teacher,15365,3,3BR,4932,59184,Lesotho,Within 1 month,No
T00811,23,Sales & Marketing,29602,4,3BR,7966,95592,Uruguay,Flexible,Yes
T00812,29,Healthcare Worker,25089,5,3BR,8608,103296,Guatemala,Within 3 months,No
T00813,38,Entrepreneur,60110,3,3BR,24405,292860,Mexico,Within 1 month,No
T00814,43,Engineer,19382,1,Studio,7181,86172,Kuwait,Within 3 months,No
T00815,31,Hospitality,13730,2,1BR,5204,62448,Cocos (Keeling) Islands,Within 1 month,No
T00816,30,Healthcare Worker,15820,1,Studio,6259,75108,Seychelles,Flexible,No
T00817,42,Healthcare Worker,24045,1,1BR,10631,127572,Heard Island and McDonald Islands,Flexible,Yes
T00818,26,Healthcare Worker,28807,2,2BR,11133,133596,Congo,Within 3 months,No
T00819,45,Healthcare Worker,33976,3,2BR,9576,114912,Lao People's Democratic Republic,Immediate,No
T00820,41,Manager,43197,4,3BR,15329,183948,Benin,Immediate,No
T00821,42,Consultant,33267,1,1BR,9837,118044,Lithuania,Immediate,No
T00822,32,Engineer,40000,3,3BR,13662,163944,Burundi,Within 3 months,No
T00823,44,Sales & Marketing,18536,1,1BR,7031,84372,Argentina,Within 1 month,Yes
T00824,40,Healthcare Worker,21859,3,3BR,7379,88548,Poland,Within 3 months,No
T00825,26,Entrepreneur,23447,2,1BR,8083,96996,Brazil,Flexible,No
T00826,28,Manager,38818,5,3BR,17277,207324,Gibraltar,Flexible,Yes
T00827,34,Entrepreneur,46024,1,1BR,12210,146520,Denmark,Immediate,Yes
T00828,22,IT Professional,26877,3,2BR,11241,134892,Dominican Republic,Immediate,No
T00829,33,Entrepreneur,48597,1,Studio,19859,238308,Denmark,Flexible,No
T00830,47,Engineer,25511,1,Studio,8000,96000,Anguilla,Immediate,No
T00831,35,Hospitality,16127,2,2BR,5221,62652,Albania,Within 1 month,No
T00832,43,Finance Professional,42963,3,2BR,16033,192396,Cook Islands,Flexible,Yes
T00833,46,Engineer,24332,2,2BR,7724,92688,Uzbekistan,Within 3 months,No
T00834,40,IT Professional,35055,3,3BR,13209,158508,Trinidad and Tobago,Flexible,No
T00835,58,Entrepreneur,30794,2,1BR,7993,95916,Colombia,Flexible,No
T00836,29,Consultant,44260,2,2BR,19023,228276,Guadeloupe,Within 1 month,Yes
T00837,39,Hospitality,15052,3,2BR,6135,73620,Zambia,Immediate,No
T00838,22,IT Professional,37267,3,3BR,9959,119508,Hong Kong,Within 1 month,No
T00839,57,Consultant,28559,3,3BR,12310,147720,Morocco,Immediate,No
T00840,45,Manager,47063,3,2BR,19777,237324,United States Minor Outlying Islands,Flexible,No
T00841,23,Entrepreneur,65178,3,2BR,23829,285948,Sri Lanka,Immediate,No
T00842,29,Teacher,12318,3,3BR,4317,51804,Israel,Within 3 months,No
T00843,29,Engineer,15000,1,1BR,5646,67752,Faroe Islands,Within 1 month,No
T00844,26,Manager,34467,1,1BR,11942,143304,Kenya,Within 3 months,No
T00845,41,IT Professional,38232,1,1BR,16667,200004,Serbia,Within 3 months,No
T00846,40,Sales & Marketing,27116,2,1BR,11634,139608,El Salvador,Flexible,No
T00847,23,Sales & Marketing,14385,1,Studio,5801,69612,United States Virgin Islands,Immediate,No
T00848,32,Entrepreneur,63809,2,1BR,21237,254844,United Arab Emirates,Within 1 month,Yes
T00849,50,Finance Professional,30140,2,2BR,8070,96840,Bangladesh,Within 3 months,Yes
T00850,33,Manager,39332,4,2BR,11339,136068,Comoros,Within 3 months,No
T00851,22,Sales & Marketing,18306,1,1BR,6978,83736,Uzbekistan,Flexible,No
T00852,27,Entrepreneur,54481,3,3BR,18456,221472,United Kingdom,Within 3 months,No
T00853,46,Sales & Marketing,22089,2,2BR,7705,92460,Dominica,Within 1 month,No
T00854,22,IT Professional,45000,2,1BR,16860,202320,Bangladesh,Immediate,Yes
T00855,32,Entrepreneur,65969,1,Studio,26266,315192,Uzbekistan,Within 1 month,No
T00856,33,Engineer,35892,1,Studio,13833,165996,Bolivia,Immediate,No
T00857,35,Hospitality,11770,1,Studio,3809,45708,Guinea-Bissau,Immediate,No
T00858,33,Engineer,28025,3,3BR,8051,96612,Bermuda,Flexible,Yes
T00859,43,Healthcare Worker,14167,4,2BR,4142,49704,Nepal,Flexible,Yes
T00860,22,Engineer,26720,2,2BR,8540,102480,Israel,Flexible,No
T00861,37,Hospitality,10939,1,Studio,4854,58248,Macao,Within 1 month,Yes
T00862,27,Teacher,12690,3,3BR,3758,45096,Denmark,Within 3 months,Yes
T00863,25,Manager,44702,1,1BR,15698,188376,New Zealand,Immediate,No
T00864,40,Manager,46654,4,3BR,16070,192840,French Guiana,Flexible,No
T00865,22,Manager,45631,4,3BR,16383,196596,Mauritius,Flexible,Yes
T00866,27,Teacher,15548,2,1BR,4415,52980,Sao Tome and Principe,Immediate,No
T00867,43,Engineer,26666,2,2BR,6755,81060,Somalia,Immediate,No
T00868,42,Consultant,22759,1,1BR,9930,119160,Puerto Rico,Flexible,No
T00869,34,Teacher,10821,1,1BR,4100,49200,Gabon,Immediate,No
T00870,22,Consultant,37416,4,2BR,11720,140640,Cayman Islands,Within 1 month,No
T00871,30,Finance Professional,38615,1,Studio,15033,180396,Cambodia,Immediate,No
T00872,40,IT Professional,21270,4,3BR,7965,95580,Isle of Man,Within 3 months,No
T00873,41,Engineer,33131,2,2BR,8937,107244,Palau,Within 3 months,No
T00874,53,Entrepreneur,15000,4,2BR,6022,72264,Jersey,Flexible,No
T00875,22,Finance Professional,58618,2,1BR,24760,297120,Congo,Within 3 months,No
T00876,22,Consultant,42741,2,2BR,18171,218052,Benin,Within 1 month,No
T00877,34,Sales & Marketing,25030,1,Studio,8635,103620,Heard Island and McDonald Islands,Within 1 month,No
T00878,26,Consultant,50000,2,2BR,16276,195312,Gabon,Within 1 month,No
T00879,32,Teacher,10779,1,1BR,3715,44580,Turks and Caicos Islands,Immediate,No
T00880,34,Engineer,37728,3,3BR,12188,146256,Croatia,Immediate,No
T00881,49,IT Professional,19990,2,2BR,8466,101592,Andorra,Within 3 months,Yes
T00882,36,Manager,47323,2,2BR,12527,150324,Nauru,Flexible,No
T00883,37,Entrepreneur,45012,3,3BR,19081,228972,Turkmenistan,Within 3 months,No
T00884,22,Engineer,25700,2,2BR,11132,133584,Syrian Arab Republic,Flexible,No
T00885,35,Hospitality,14228,1,Studio,4876,58512,Nicaragua,Immediate,No
T00886,33,Finance Professional,34440,3,3BR,13325,159900,Antarctica (the territory South of 60 deg S),Flexible,No
T00887,32,Hospitality,16837,3,2BR,6560,78720,Costa Rica,Immediate,No
T00888,48,Consultant,41622,4,2BR,17679,212148,Norway,Within 3 months,No
T00889,32,Teacher,12972,3,3BR,5049,60588,Palau,Within 3 months,No
T00890,42,Hospitality,10945,2,2BR,4347,52164,Western Sahara,Within 3 months,No
T00891,34,Consultant,39619,1,1BR,17158,205896,Georgia,Immediate,Yes
T00892,22,Manager,32897,5,3BR,11108,133296,Puerto Rico,Flexible,Yes
T00893,29,Teacher,14879,4,3BR,4710,56520,Montenegro,Immediate,No
T00894,22,Sales & Marketing,24590,2,1BR,9889,118668,British Indian Ocean Territory (Chagos Archipelago),Within 1 month,Yes
T00895,28,Hospitality,16319,3,3BR,6934,83208,Egypt,Immediate,No
T00896,28,Sales & Marketing,25278,5,3BR,10759,129108,Belarus,Flexible,No
T00897,30,Hospitality,10814,2,2BR,4381,52572,Guinea-Bissau,Within 3 months,No
T00898,37,Engineer,30519,1,1BR,11129,133548,Swaziland,Within 1 month,No
T00899,38,Teacher,8399,2,2BR,3118,37416,Hong Kong,Within 3 months,No
T00900,38,Sales & Marketing,30454,1,1BR,12656,151872,Northern Mariana Islands,Immediate,No
T00901,34,Engineer,40000,2,1BR,14792,177504,Guam,Immediate,No
T00902,44,Teacher,14475,3,3BR,4141,49692,Congo,Within 3 months,Yes
T00903,45,Sales & Marketing,10000,4,2BR,3891,46692,Togo,Within 1 month,No
T00904,33,Consultant,36584,3,2BR,9810,117720,Svalbard & Jan Mayen Islands,Immediate,No
T00905,32,IT Professional,15383,3,3BR,4117,49404,Russian Federation,Immediate,No
T00906,27,Hospitality,18249,2,2BR,6647,79764,Hong Kong,Within 1 month,No
T00907,31,Healthcare Worker,24161,1,1BR,6674,80088,Jersey,Within 3 months,No
T00908,38,Finance Professional,21518,1,1BR,7942,95304,Luxembourg,Immediate,No
T00909,23,Engineer,40000,2,2BR,10292,123504,Benin,Flexible,Yes
T00910,22,Teacher,13471,3,3BR,5209,62508,Cote d'Ivoire,Within 3 months,No
T00911,29,IT Professional,15000,3,3BR,3929,47148,Iran,Flexible,No
T00912,31,IT Professional,37820,4,2BR,15312,183744,Gambia,Flexible,No
T00913,27,IT Professional,30151,2,2BR,12256,147072,Italy,Within 1 month,No
T00914,39,Consultant,34773,2,1BR,11312,135744,Turkmenistan,Within 1 month,Yes
T00915,34,Healthcare Worker,35000,1,1BR,13470,161640,United States of America,Immediate,No
T00916,33,Healthcare Worker,16658,2,1BR,6395,76740,Romania,Within 1 month,Yes
T00917,55,Finance Professional,40243,3,3BR,14775,177300,Congo,Immediate,Yes
T00918,26,Sales & Marketing,30937,3,2BR,8657,103884,Greenland,Flexible,No
T00919,36,Sales & Marketing,21024,1,Studio,6303,75636,Belize,Flexible,No
T00920,27,Manager,34032,3,2BR,9825,117900,San Marino,Within 3 months,No
T00921,42,Teacher,16338,4,3BR,7253,87036,Vanuatu,Immediate,No
T00922,41,Healthcare Worker,24633,2,2BR,8359,100308,Gabon,Immediate,Yes
T00923,44,Finance Professional,43435,1,1BR,14281,171372,Greece,Flexible,No
T00924,47,Hospitality,17852,5,3BR,6859,82308,Chile,Within 3 months,No
T00925,37,Healthcare Worker,20300,3,2BR,8812,105744,Colombia,Within 3 months,No
T00926,38,Finance Professional,24615,3,3BR,9749,116988,Malaysia,Flexible,Yes
T00927,23,Engineer,36833,3,2BR,11541,138492,Saudi Arabia,Within 3 months,Yes
T00928,41,Entrepreneur,27264,4,3BR,9938,119256,Northern Mariana Islands,Within 3 months,No
T00929,34,Sales & Marketing,16257,1,1BR,6993,83916,Burkina Faso,Within 3 months,Yes
T00930,37,Sales & Marketing,20695,1,1BR,5664,67968,Croatia,Within 3 months,No
T00931,27,Finance Professional,58053,1,1BR,16566,198792,Burundi,Immediate,No
T00932,45,Teacher,10561,2,2BR,4610,55320,Turkmenistan,Within 3 months,No
T00933,36,Manager,49946,1,1BR,15191,182292,Greece,Within 3 months,No
T00934,29,Manager,43936,3,3BR,17196,206352,Poland,Within 3 months,No
T00935,37,Finance Professional,39399,2,2BR,14127,169524,Cuba,Within 1 month,Yes
T00936,33,Entrepreneur,75509,3,2BR,23584,283008,Switzerland,Flexible,No
T00937,31,Sales & Marketing,26663,5,3BR,10165,121980,Georgia,Immediate,No
T00938,22,Consultant,35440,1,1BR,10848,130176,Malawi,Within 1 month,No
T00939,47,Teacher,11421,1,1BR,3196,38352,Palestinian Territory,Within 1 month,No
T00940,30,Healthcare Worker,27318,2,2BR,11060,132720,Gibraltar,Within 3 months,No
T00941,22,Healthcare Worker,19843,2,1BR,6552,78624,Saint Kitts and Nevis,Immediate,No
T00942,39,Engineer,29913,3,2BR,11088,133056,Colombia,Within 3 months,No
T00943,26,Teacher,14557,4,2BR,5071,60852,Swaziland,Immediate,No
T00944,36,Manager,37924,3,2BR,11096,133152,Saint Barthelemy,Flexible,No
T00945,44,IT Professional,25112,2,2BR,10618,127416,Nepal,Immediate,No
T00946,35,IT Professional,36085,2,1BR,11698,140376,Kiribati,Flexible,No
T00947,28,Healthcare Worker,23390,2,2BR,7097,85164,Serbia,Immediate,No
T00948,41,Engineer,27584,2,2BR,11001,132012,New Zealand,Flexible,Yes
T00949,51,Entrepreneur,37020,1,1BR,13974,167688,Montenegro,Within 3 months,No
T00950,31,Hospitality,9041,3,3BR,2375,28500,Croatia,Immediate,No
T00951,48,Engineer,31471,5,3BR,13079,156948,Rwanda,Flexible,Yes
T00952,49,Finance Professional,40217,3,3BR,10936,131232,Equatorial Guinea,Within 1 month,No
T00953,48,Manager,42545,1,Studio,11030,132360,Nepal,Within 3 months,Yes
T00954,36,Manager,30262,4,2BR,12055,144660,Thailand,Within 1 month,No
T00955,35,Hospitality,6000,3,2BR,2045,24540,Ireland,Within 1 month,No
T00956,45,Manager,21400,3,3BR,6959,83508,Guinea,Within 1 month,No
T00957,35,Engineer,28341,4,3BR,12580,150960,Kazakhstan,Within 3 months,No
T00958,29,Sales & Marketing,26857,1,1BR,12044,144528,Korea,Within 3 months,Yes
T00959,29,Consultant,42684,5,3BR,14676,176112,Germany,Within 3 months,No
T00960,36,IT Professional,35722,2,2BR,10634,127608,Mexico,Within 1 month,No
T00961,33,Manager,36764,3,2BR,11537,138444,Dominican Republic,Within 1 month,No
T00962,25,Consultant,44333,1,1BR,16372,196464,Norway,Within 1 month,No
T00963,32,Manager,32736,2,2BR,11361,136332,Cyprus,Immediate,No
T00964,22,Finance Professional,47832,4,3BR,21259,255108,Guatemala,Within 1 month,No
T00965,45,Teacher,13836,4,2BR,4487,53844,Christmas Island,Immediate,No
T00966,32,IT Professional,33605,4,3BR,10323,123876,British Indian Ocean Territory (Chagos Archipelago),Within 1 month,No
T00967,41,Entrepreneur,16564,2,2BR,5858,70296,Paraguay,Immediate,No
T00968,27,Sales & Marketing,16048,2,1BR,6358,76296,New Caledonia,Flexible,No
T00969,24,Teacher,12407,3,2BR,3166,37992,Luxembourg,Within 1 month,No
T00970,43,Entrepreneur,64771,2,2BR,23028,276336,Afghanistan,Within 3 months,No
T00971,30,Finance Professional,34173,4,3BR,12186,146232,Pitcairn Islands,Immediate,Yes
T00972,43,Sales & Marketing,24358,2,1BR,8925,107100,Iceland,Flexible,No
T00973,32,Hospitality,19154,2,2BR,6622,79464,French Polynesia,Within 1 month,Yes
T00974,48,IT Professional,28019,2,1BR,7648,91776,Albania,Within 1 month,No
T00975,34,Finance Professional,38766,4,2BR,15812,189744,Zimbabwe,Within 1 month,No
T00976,34,IT Professional,15000,1,1BR,3802,45624,Jersey,Within 3 months,No
T00977,28,Teacher,16144,2,2BR,6305,75660,France,Within 1 month,Yes
T00978,44,Finance Professional,54991,5,3BR,16912,202944,Benin,Flexible,No
T00979,22,Manager,35505,2,1BR,15821,189852,Cambodia,Within 3 months,Yes
T00980,31,IT Professional,31935,4,2BR,13470,161640,Congo,Immediate,Yes
T00981,28,Hospitality,11662,1,Studio,5139,61668,Vanuatu,Immediate,No
T00982,33,Teacher,11157,2,1BR,4005,48060,Puerto Rico,Within 3 months,No
T00983,44,Teacher,13843,4,2BR,4193,50316,Western Sahara,Within 1 month,Yes
T00984,43,Manager,52071,3,3BR,17851,214212,Solomon Islands,Within 1 month,Yes
T00985,45,IT Professional,39917,4,3BR,17674,212088,Saint Pierre and Miquelon,Within 3 months,No
T00986,36,Consultant,34224,1,1BR,15365,184380,Norway,Within 1 month,No
T00987,34,Manager,40997,2,1BR,15977,191724,Belarus,Immediate,Yes
T00988,29,IT Professional,36136,2,2BR,10149,121788,Gibraltar,Within 3 months,No
T00989,25,Healthcare Worker,24143,2,2BR,8011,96132,Fiji,Within 1 month,Yes
T00990,42,Sales & Marketing,21720,1,Studio,9701,116412,Armenia,Immediate,No
T00991,22,Sales & Marketing,25381,4,2BR,7381,88572,Cape Verde,Within 3 months,No
T00992,42,Manager,20000,2,2BR,6617,79404,Gambia,Immediate,No
T00993,45,Finance Professional,43910,1,1BR,14558,174696,Eritrea,Immediate,Yes
T00994,27,IT Professional,32312,1,1BR,13724,164688,Kuwait,Flexible,No
T00995,35,Healthcare Worker,24097,3,2BR,7310,87720,Macao,Immediate,No
T00996,22,Sales & Marketing,21503,2,2BR,7531,90372,Costa Rica,Within 1 month,No
T00997,25,Consultant,29652,1,1BR,11136,133632,Algeria,Within 1 month,No
T00998,41,Consultant,50000,4,2BR,18739,224868,Turks and Caicos Islands,Flexible,No
T00999,30,Engineer,31187,2,2BR,9679,116148,Yemen,Within 3 months,No
T01000,37,Engineer,27577,3,3BR,11404,136848,Korea,Flexible,No
T01001,38,Hospitality,16452,1,Studio,6365,76380,Tuvalu,Within 3 months,No
T01002,47,IT Professional,33408,3,2BR,14091,169092,Grenada,Immediate,No
T01003,44,Hospitality,9175,1,Studio,2664,31968,American Samoa,Flexible,Yes
T01004,35,Manager,41022,2,1BR,10694,128328,Botswana,Within 1 month,No
T01005,24,Finance Professional,48802,2,1BR,16767,201204,Iran,Immediate,No
T01006,36,Engineer,35096,5,3BR,9234,110808,Congo,Within 1 month,No
T01007,30,Healthcare Worker,13315,2,2BR,5091,61092,Cambodia,Within 3 months,Yes
T01008,31,Healthcare Worker,21134,2,2BR,5517,66204,Luxembourg,Within 3 months,No
T01009,35,Hospitality,12327,1,1BR,5038,60456,North Macedonia,Within 1 month,No
T01010,41,Hospitality,9781,1,1BR,3204,38448,Angola,Within 3 months,No
T01011,46,Entrepreneur,39630,1,Studio,10435,125220,Comoros,Within 3 months,No
T01012,39,IT Professional,26415,2,1BR,9951,119412,Pakistan,Within 1 month,No
T01013,35,Consultant,44895,1,1BR,12179,146148,Ethiopia,Within 1 month,No
T01014,22,Hospitality,13244,1,Studio,4157,49884,Montserrat,Immediate,No
T01015,35,Teacher,9918,4,3BR,3390,40680,Brazil,Within 3 months,No
T01016,22,Finance Professional,60000,1,1BR,16907,202884,El Salvador,Within 3 months,Yes
T01017,41,Entrepreneur,33888,1,Studio,14227,170724,Bosnia and Herzegovina,Flexible,No
T01018,25,Healthcare Worker,14880,5,3BR,5486,65832,Tonga,Within 3 months,No
T01019,47,Manager,34555,2,1BR,13263,159156,Andorra,Flexible,Yes
T01020,29,IT Professional,31388,2,2BR,10973,131676,Peru,Within 1 month,No
T01021,25,Healthcare Worker,20244,2,1BR,9002,108024,Guatemala,Immediate,No
T01022,22,Consultant,37002,3,2BR,9874,118488,Brunei Darussalam,Within 1 month,No
T01023,34,Engineer,30842,2,2BR,13122,157464,Hong Kong,Flexible,No
T01024,32,Engineer,29904,2,2BR,10212,122544,Yemen,Flexible,No
T01025,34,Teacher,13585,1,Studio,4453,53436,Netherlands,Within 1 month,No
T01026,45,Manager,32155,4,2BR,11473,137676,Niue,Immediate,No
T01027,37,Healthcare Worker,25134,3,2BR,10419,125028,Indonesia,Immediate,No
T01028,22,Engineer,24390,2,1BR,7674,92088,Cook Islands,Immediate,No
T01029,43,Healthcare Worker,29583,3,2BR,9666,115992,Swaziland,Immediate,No
T01030,50,Hospitality,9619,1,1BR,3603,43236,Vanuatu,Within 1 month,No
T01031,54,Teacher,13229,4,2BR,4957,59484,Isle of Man,Flexible,No
T01032,31,Sales & Marketing,19434,4,2BR,7849,94188,Vietnam,Within 3 months,Yes
T01033,32,Consultant,33970,4,3BR,14317,171804,French Southern Territories,Within 3 months,No
T01034,25,Finance Professional,26683,3,3BR,8391,100692,Chad,Flexible,Yes
T01035,39,Engineer,26384,2,2BR,9892,118704,Kyrgyz Republic,Within 1 month,No
T01036,27,Sales & Marketing,10000,2,2BR,3822,45864,Venezuela,Immediate,No
T01037,36,Entrepreneur,37178,2,1BR,15447,185364,Cape Verde,Immediate,No
T01038,22,Healthcare Worker,18844,1,Studio,6912,82944,Saint Lucia,Flexible,Yes
T01039,42,Hospitality,9919,2,2BR,3869,46428,Barbados,Flexible,No
T01040,48,Manager,38608,1,Studio,10937,131244,Colombia,Within 3 months,Yes
T01041,43,Hospitality,14449,1,1BR,3723,44676,United States Minor Outlying Islands,Flexible,No
T01042,34,Engineer,34522,2,2BR,14116,169392,Tunisia,Within 1 month,No
T01043,22,Hospitality,11095,3,2BR,4150,49800,Iraq,Within 3 months,Yes
T01044,39,Teacher,9896,3,2BR,3542,42504,Yemen,Flexible,No
T01045,40,Finance Professional,34633,4,3BR,9779,117348,Yemen,Flexible,No
T01046,30,Hospitality,12463,4,3BR,3164,37968,Eritrea,Within 1 month,No
T01047,42,Finance Professional,43498,5,3BR,18501,222012,Poland,Immediate,No
T01048,35,Sales & Marketing,11027,3,2BR,3160,37920,Germany,Within 3 months,Yes
T01049,34,Teacher,13652,4,3BR,5252,63024,Wallis and Futuna,Within 3 months,Yes
T01050,25,Entrepreneur,48678,5,3BR,15028,180336,Finland,Within 1 month,No
T01051,39,Teacher,9256,3,2BR,2370,28440,Cook Islands,Within 1 month,No
T01052,31,Entrepreneur,15000,2,2BR,5221,62652,Iceland,Flexible,No
T01053,26,Hospitality,7266,1,Studio,2602,31224,Libyan Arab Jamahiriya,Immediate,Yes
T01054,28,Healthcare Worker,22261,2,1BR,9980,119760,Italy,Immediate,No
T01055,35,Consultant,43368,3,2BR,12875,154500,Malawi,Within 3 months,No
T01056,42,IT Professional,32249,3,2BR,13860,166320,Oman,Within 1 month,No
T01057,33,Healthcare Worker,26448,2,1BR,7095,85140,Western Sahara,Flexible,No
T01058,42,Entrepreneur,19098,4,2BR,5111,61332,Seychelles,Flexible,Yes
T01059,37,Entrepreneur,38080,2,2BR,12066,144792,Liberia,Flexible,Yes
T01060,42,Finance Professional,37316,2,1BR,13815,165780,New Zealand,Flexible,No
T01061,30,Manager,30755,2,2BR,9184,110208,Zimbabwe,Flexible,No
T01062,34,Consultant,29270,3,3BR,8999,107988,Jersey,Flexible,No
T01063,46,IT Professional,37145,2,2BR,15770,189240,Lesotho,Within 3 months,Yes
T01064,22,Healthcare Worker,16766,1,1BR,5742,68904,Palestinian Territory,Flexible,Yes
T01065,35,Entrepreneur,36815,2,2BR,12709,152508,Gambia,Immediate,No
T01066,41,Sales & Marketing,22971,4,2BR,6962,83544,Iceland,Within 1 month,Yes
T01067,47,IT Professional,27702,1,Studio,8980,107760,Lesotho,Immediate,No
T01068,49,IT Professional,39065,2,2BR,14422,173064,Norfolk Island,Within 3 months,No
T01069,22,Sales & Marketing,24472,5,3BR,7780,93360,Togo,Within 1 month,No
T01070,37,IT Professional,26044,3,2BR,10004,120048,Vanuatu,Flexible,Yes
T01071,30,Manager,27299,2,2BR,10409,124908,Colombia,Within 3 months,No
T01072,25,Finance Professional,22109,1,1BR,6527,78324,Hungary,Flexible,No
T01073,41,Teacher,15782,1,1BR,5338,64056,Nepal,Within 3 months,No
T01074,43,Consultant,44483,2,2BR,12436,149232,Malaysia,Within 3 months,No
T01075,36,Consultant,31316,3,3BR,10064,120768,Ireland,Flexible,No
T01076,27,Consultant,41152,2,1BR,13158,157896,Russian Federation,Flexible,No
T01077,45,Consultant,37155,2,2BR,16518,198216,Congo,Immediate,Yes
T01078,43,Consultant,49647,2,2BR,16405,196860,Albania,Within 3 months,No
T01079,37,Engineer,25459,2,2BR,8702,104424,Uganda,Immediate,No
T01080,46,Teacher,17629,1,1BR,5627,67524,Solomon Islands,Within 3 months,No
T01081,37,Consultant,37835,2,1BR,14636,175632,Benin,Immediate,No
T01082,50,Consultant,46600,1,Studio,12848,154176,Portugal,Flexible,No
T01083,28,Engineer,15739,2,1BR,7055,84660,Djibouti,Flexible,No
T01084,43,Manager,47081,4,2BR,15460,185520,Costa Rica,Within 1 month,No
T01085,32,Teacher,11376,1,1BR,4804,57648,Cyprus,Within 1 month,No
T01086,43,Healthcare Worker,21341,1,Studio,9011,108132,Bulgaria,Flexible,No
T01087,22,Entrepreneur,61912,2,2BR,26220,314640,Libyan Arab Jamahiriya,Flexible,No
T01088,34,Sales & Marketing,21470,2,2BR,8134,97608,Nicaragua,Within 3 months,Yes
T01089,32,Engineer,15000,4,2BR,5326,63912,Singapore,Within 3 months,Yes
T01090,32,Manager,30457,2,1BR,8885,106620,Monaco,Flexible,No
T01091,31,Consultant,33858,2,2BR,13860,166320,Saint Pierre and Miquelon,Flexible,No
T01092,25,Engineer,17332,4,3BR,6733,80796,Spain,Immediate,Yes
T01093,26,Entrepreneur,60129,2,2BR,21226,254712,Western Sahara,Flexible,No
T01094,36,Entrepreneur,80000,5,3BR,35472,425664,Saint Helena,Within 1 month,No
T01095,54,Sales & Marketing,15210,1,1BR,5739,68868,Mexico,Flexible,Yes
T01096,30,Healthcare Worker,16981,4,2BR,4546,54552,Yemen,Immediate,No
T01097,43,IT Professional,42011,3,2BR,11760,141120,Burkina Faso,Flexible,No
T01098,32,Finance Professional,60000,1,1BR,21808,261696,Sudan,Immediate,No
T01099,48,Engineer,29239,2,2BR,7375,88500,Bhutan,Within 1 month,No
T01100,33,Teacher,8289,2,1BR,2330,27960,Switzerland,Within 1 month,No
T01101,46,Consultant,43814,2,1BR,17169,206028,Korea,Immediate,No
T01102,32,Manager,45094,2,2BR,13436,161232,Afghanistan,Within 1 month,No
T01103,32,Entrepreneur,50068,3,2BR,18102,217224,Chile,Within 3 months,No
T01104,32,Teacher,8000,1,1BR,3071,36852,Norway,Within 1 month,No
T01105,44,Teacher,13623,1,Studio,4056,48672,Zambia,Within 1 month,No
T01106,32,Teacher,18000,3,2BR,8023,96276,Israel,Within 1 month,Yes
T01107,22,Engineer,36775,2,2BR,10972,131664,Papua New Guinea,Within 1 month,Yes
T01108,27,Teacher,11811,2,2BR,3187,38244,Tokelau,Flexible,Yes
T01109,37,Entrepreneur,24435,1,Studio,6314,75768,Liberia,Immediate,No
T01110,39,Engineer,29325,1,1BR,8342,100104,British Indian Ocean Territory (Chagos Archipelago),Flexible,No
T01111,29,Entrepreneur,48906,1,Studio,19925,239100,Netherlands,Within 3 months,Yes
T01112,41,IT Professional,22554,3,3BR,6855,82260,Montenegro,Immediate,No
T01113,22,Healthcare Worker,26239,5,3BR,10504,126048,Hungary,Immediate,No
T01114,46,Sales & Marketing,20874,1,1BR,6421,77052,Barbados,Immediate,Yes
T01115,26,Manager,48203,3,2BR,18927,227124,French Polynesia,Within 1 month,No
T01116,46,Sales & Marketing,23496,1,1BR,8404,100848,Togo,Within 1 month,Yes
T01117,35,Teacher,10995,5,3BR,3409,40908,Netherlands,Immediate,Yes
T01118,38,Healthcare Worker,18831,2,2BR,7588,91056,Finland,Flexible,No
T01119,53,Consultant,38552,1,Studio,10323,123876,Nigeria,Within 1 month,No
T01120,26,Finance Professional,40743,2,2BR,18102,217224,Bhutan,Immediate,No
T01121,42,Sales & Marketing,22116,1,1BR,6397,76764,Togo,Immediate,No
T01122,53,Consultant,25673,4,3BR,10207,122484,Mauritius,Within 1 month,No
T01123,54,Engineer,40000,1,Studio,15774,189288,Guinea,Immediate,No
T01124,47,Engineer,19272,3,3BR,5882,70584,British Indian Ocean Territory (Chagos Archipelago),Within 1 month,No
T01125,32,Consultant,25048,3,3BR,8603,103236,Gambia,Immediate,No
T01126,27,Sales & Marketing,21849,1,1BR,5738,68856,Saint Pierre and Miquelon,Flexible,No
T01127,25,Consultant,35578,1,1BR,14812,177744,Kuwait,Within 1 month,Yes
T01128,22,Hospitality,12580,4,2BR,3864,46368,Guinea,Immediate,No
T01129,35,Hospitality,10909,5,3BR,4118,49416,Jamaica,Flexible,No
T01130,42,Sales & Marketing,20641,2,2BR,7275,87300,Zambia,Within 3 months,No
T01131,62,Engineer,27301,2,2BR,8239,98868,British Virgin Islands,Within 3 months,No
T01132,27,Engineer,30330,2,2BR,11608,139296,Israel,Flexible,No
T01133,29,Engineer,36985,3,3BR,10751,129012,Saint Vincent and the Grenadines,Flexible,Yes
T01134,23,Sales & Marketing,21471,4,3BR,6938,83256,Armenia,Within 1 month,No
T01135,22,Finance Professional,42472,1,1BR,14848,178176,South Africa,Flexible,No
T01136,37,IT Professional,31647,4,2BR,14068,168816,Cote d'Ivoire,Flexible,No
